TradeName,ScientificName,Matched_Kaggle_Name,Match_Score,Chemical Class,Therapeutic Class,sideEffect,substitute,use,Scientific_clean,Matched_clean,fuzzy_token,Confidence
ORENCIA 125MG Solution for injection in pre-filled syringe,ABATACEPT,abatact tablet,0.8216328024864197,,PAIN ANALGESICS,No common side effects seen,Chymomerg Tablet ; Edinase  Tablet ; Suretrip Forte 90mg/48mg/100mg Tablet ; Afdiflam Tablet ; Jubiflam Tablet,Pain relief,abatacept,abatact tablet,69.56521739130434,Medium
ORENCIA 250MG POWDER FOR SOLUTION FOR INFUSION,ABATACEPT,abatact tablet,0.8216328024864197,,PAIN ANALGESICS,No common side effects seen,Chymomerg Tablet ; Edinase  Tablet ; Suretrip Forte 90mg/48mg/100mg Tablet ; Afdiflam Tablet ; Jubiflam Tablet,Pain relief,abatacept,abatact tablet,69.56521739130434,Medium
INFANRIX HEPB MONODOSE PREFILLED SYRINGE,"ACELLULAR PERTUSSIS, DIPHTHERIA, TETANUS",diphtheria-tetanus-pertussis vaccine adsorbed,1.9785873889923096,,VACCINES,Headache ; Injection site redness ; Pain ; Swelling ; Weakness ; Gastrointesinal symptoms,,Tetanus ; Diphtheria ; Pertussis,"acellular pertussis, diphtheria, tetanus",diphtheria-tetanus-pertussis vaccine adsorbed,58.82352941176471,Medium
ACC 200MG POWDER FOR ORAL SOLUTION,ACETYLCYSTEINE,davaindia acetylcysteine 600mg tablet,5.0063018798828125,N-Acylated Alpha Amino Acids,PAIN ANALGESICS,Fever ; Nausea ; Vomiting ; Rash ; Gastrointestinal discomfort,Ovanac  Tablet ; Ovanac-Plus Tablet ; Mucomeg 600mg Tablet ; Acestine 600 Tablet ; Mucoend 600mg Tablet,Treatment of Respiratory disease with excessive mucus,acetylcysteine,davaindia acetylcysteine 600mg tablet,54.90196078431373,Medium
ACC LONG 600MG EFFERVESCENT TABLETS,ACETYLCYSTEINE,davaindia acetylcysteine 600mg tablet,5.0063018798828125,N-Acylated Alpha Amino Acids,PAIN ANALGESICS,Fever ; Nausea ; Vomiting ; Rash ; Gastrointestinal discomfort,Ovanac  Tablet ; Ovanac-Plus Tablet ; Mucomeg 600mg Tablet ; Acestine 600 Tablet ; Mucoend 600mg Tablet,Treatment of Respiratory disease with excessive mucus,acetylcysteine,davaindia acetylcysteine 600mg tablet,54.90196078431373,Medium
ACETYLCISTEINE EFFE INSTANT 200MG SACHET,ACETYLCYSTEINE,davaindia acetylcysteine 600mg tablet,5.0063018798828125,N-Acylated Alpha Amino Acids,PAIN ANALGESICS,Fever ; Nausea ; Vomiting ; Rash ; Gastrointestinal discomfort,Ovanac  Tablet ; Ovanac-Plus Tablet ; Mucomeg 600mg Tablet ; Acestine 600 Tablet ; Mucoend 600mg Tablet,Treatment of Respiratory disease with excessive mucus,acetylcysteine,davaindia acetylcysteine 600mg tablet,54.90196078431373,Medium
ACETYLCYSTEINE 200mg/ml Injection,ACETYLCYSTEINE,davaindia acetylcysteine 600mg tablet,5.0063018798828125,N-Acylated Alpha Amino Acids,PAIN ANALGESICS,Fever ; Nausea ; Vomiting ; Rash ; Gastrointestinal discomfort,Ovanac  Tablet ; Ovanac-Plus Tablet ; Mucomeg 600mg Tablet ; Acestine 600 Tablet ; Mucoend 600mg Tablet,Treatment of Respiratory disease with excessive mucus,acetylcysteine,davaindia acetylcysteine 600mg tablet,54.90196078431373,Medium
FLUIMUCIL 100MG/1GM GRANULES FOR ORAL SOLUTION,ACETYLCYSTEINE,davaindia acetylcysteine 600mg tablet,5.0063018798828125,N-Acylated Alpha Amino Acids,PAIN ANALGESICS,Fever ; Nausea ; Vomiting ; Rash ; Gastrointestinal discomfort,Ovanac  Tablet ; Ovanac-Plus Tablet ; Mucomeg 600mg Tablet ; Acestine 600 Tablet ; Mucoend 600mg Tablet,Treatment of Respiratory disease with excessive mucus,acetylcysteine,davaindia acetylcysteine 600mg tablet,54.90196078431373,Medium
FLUIMUCIL 200MG/1GM GRANULES FOR ORAL SOLUTION,ACETYLCYSTEINE,davaindia acetylcysteine 600mg tablet,5.0063018798828125,N-Acylated Alpha Amino Acids,PAIN ANALGESICS,Fever ; Nausea ; Vomiting ; Rash ; Gastrointestinal discomfort,Ovanac  Tablet ; Ovanac-Plus Tablet ; Mucomeg 600mg Tablet ; Acestine 600 Tablet ; Mucoend 600mg Tablet,Treatment of Respiratory disease with excessive mucus,acetylcysteine,davaindia acetylcysteine 600mg tablet,54.90196078431373,Medium
ASPICARD 81MG TAB,ACETYLSALICYLIC ACID,acetyl salicylic acid 50mg tablet,1.746471643447876,Acylsalicylic Acid Derivative,BLOOD RELATED,Heartburn ; Increased bleeding tendency ; Nausea ; Upset stomach ; Vomiting,Cotaspirin 50mg Tablet ; ASA 50mg Tablet ; Delay Release Asprin 50mg Tablet,Prevention of Angina (heart-related chest pain) ; Treatment and prevention of Heart attack ; Treatment and prevention of Stroke,acetylsalicylic acid,acetyl salicylic acid 50mg tablet,64.15094339622642,Medium
ASPICOT 100 MG E.C. TABLETS,ACETYLSALICYLIC ACID,acetyl salicylic acid 50mg tablet,1.746471643447876,Acylsalicylic Acid Derivative,BLOOD RELATED,Heartburn ; Increased bleeding tendency ; Nausea ; Upset stomach ; Vomiting,Cotaspirin 50mg Tablet ; ASA 50mg Tablet ; Delay Release Asprin 50mg Tablet,Prevention of Angina (heart-related chest pain) ; Treatment and prevention of Heart attack ; Treatment and prevention of Stroke,acetylsalicylic acid,acetyl salicylic acid 50mg tablet,64.15094339622642,Medium
